playerID,HR,AB,From,To,tH,walks,PA,TB,OBP,SLG,OPS,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate,Player
aaronha01,755,12364,1954,1976,3771,1434,13919,6856,0.3739492779653711,0.5545131025558072,0.9284623805211782,1982,BBWAA,415,312,406,Y,Player,NA,1934,2,5,USA,AL,Mobile,2021,1,22,USA,GA,Atlanta,Hank,Aaron,Henry Louis,180,72,R,R,1954-04-13,1976-10-03,aaroh101,aaronha01,2021-01-22,1934-02-05,Hank Aaron
alomaro01,210,9073,1988,2004,2724,1082,10252,4018,0.37124463519313305,0.4428524192659539,0.814097054459087,2011,BBWAA,581,436,523,Y,Player,NA,1968,2,5,P.R.,NA,Ponce,NA,NA,NA,NA,NA,NA,Roberto,Alomar,Roberto,184,72,B,R,1988-04-22,2004-09-05,alomr001,alomaro01,NA,1968-02-05,Roberto Alomar
ansonca01,97,10281,1871,1897,3435,1016,11297,4592,0.3939984066566345,0.44664915864215543,0.8406475652987899,1939,Old Timers,NA,NA,NA,Y,Player,NA,1852,4,17,USA,IA,Marshalltown,1922,4,14,USA,IL,Chicago,Cap,Anson,Adrian Constantine,227,72,R,R,1871-05-06,1897-10-03,ansoc101,ansonca01,1922-04-14,1852-04-17,Cap Anson
aparilu01,83,10230,1956,1973,2677,763,11069,3504,0.3107778480440871,0.34252199413489737,0.6532998421789844,1984,BBWAA,403,303,341,Y,Player,NA,1934,4,29,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Luis,Aparicio,Luis Ernesto,160,69,R,R,1956-04-17,1973-09-28,aparl101,aparilu01,NA,1934-04-29,Luis Aparicio
applilu01,45,8856,1930,1950,2749,1313,10169,3528,0.3994493067164913,0.3983739837398374,0.7978232904563287,1964,Run Off,201,NA,189,Y,Player,1st,1907,4,2,USA,NC,High Point,1991,1,3,USA,GA,Cumming,Luke,Appling,Lucius Benjamin,183,70,R,R,1930-09-10,1950-10-01,appll101,applilu01,1991-01-03,1907-04-02,Luke Appling
ashburi01,29,8365,1948,1962,2574,1241,9624,3196,0.396404821280133,0.382068141063957,0.77847296234409,1995,Veterans,NA,NA,NA,Y,Player,NA,1927,3,19,USA,NE,Tilden,1997,9,9,USA,NY,New York,Richie,Ashburn,Don Richard,170,70,L,R,1948-04-20,1962-09-30,ashbr101,ashburi01,1997-09-09,1927-03-19,Richie Ashburn
averiea01,238,6353,1929,1941,2019,807,7160,3390,0.3946927374301676,0.5336061703132379,0.9282989077434054,1975,Veterans,NA,NA,NA,Y,Player,NA,1902,5,21,USA,WA,Snohomish,1983,8,16,USA,WA,Everett,Earl,Averill,Howard Earl,172,69,L,R,1929-04-16,1941-04-25,avere101,averiea01,1983-08-16,1902-05-21,Earl Averill
bagweje01,449,7797,1991,2005,2314,1529,9428,4213,0.40761561306745864,0.540336026676927,0.9479516397443857,2017,BBWAA,442,332,381,Y,Player,NA,1968,5,27,USA,MA,Boston,NA,NA,NA,NA,NA,NA,Jeff,Bagwell,Jeffrey Robert,195,72,R,R,1991-04-08,2005-10-02,bagwj001,bagweje01,NA,1968-05-27,Jeff Bagwell
baineha01,384,9908,1980,2001,2866,1076,11083,4604,0.3556798700712803,0.4646750100928543,0.8203548801641346,2019,Veterans,NA,NA,NA,Y,Player,NA,1959,3,15,USA,MD,Easton,NA,NA,NA,NA,NA,NA,Harold,Baines,Harold Douglas,175,74,L,L,1980-04-10,2001-09-27,bainh001,baineha01,NA,1959-03-15,Harold Baines
bakerfr01,96,5984,1908,1922,1838,523,6507,2647,0.3628400184416782,0.44234625668449196,0.8051862751261701,1955,Veterans,NA,NA,NA,Y,Player,NA,1886,3,13,USA,MD,Trappe,1963,6,28,USA,MD,Trappe,Home Run,Baker,John Franklin,173,71,L,R,1908-09-21,1922-09-29,bakef102,bakerfr01,1963-06-28,1886-03-13,Home Run Baker
