Player,HR,AB,From,To,OBP,SLG,OPS
Ty Cobb,117,11434,1905,1928,0.433,0.512,0.945
Babe Ruth,714,8398,1914,1935,0.474,0.69,1.164
Honus Wagner,101,10430,1897,1917,0.391,0.466,0.857
Nap Lajoie,83,9589,1896,1916,0.38,0.467,0.847
Tris Speaker,117,10195,1907,1928,0.428,0.5,0.928
George Sisler,102,8267,1915,1930,0.379,0.468,0.847
Eddie Collins,47,9949,1906,1930,0.424,0.429,0.853
Willie Keeler,33,8591,1892,1910,0.388,0.415,0.803
Cap Anson,97,10277,1871,1897,0.391,0.445,0.836
Buck Ewing,71,5363,1880,1897,0.35,0.456,0.806
Lou Gehrig,493,8001,1923,1939,0.447,0.632,1.079
Old Hoss Radbourn,9,2487,1880,1891,0.281,0.281,0.562
Rogers Hornsby,301,8173,1915,1937,0.434,0.577,1.011
Roger Bresnahan,26,4481,1897,1915,0.386,0.377,0.763
Dan Brouthers,106,6711,1879,1904,0.415,0.519,0.934
Fred Clarke,67,8568,1894,1915,0.386,0.429,0.815
Jimmy Collins,65,6795,1895,1908,0.343,0.409,0.752
Ed Delahanty,101,7505,1888,1903,0.411,0.505,0.916
Hugh Duffy,106,7042,1888,1906,0.384,0.449,0.833
Hughie Jennings,18,4904,1891,1918,0.39,0.406,0.796
King Kelly,69,5894,1878,1893,0.367,0.438,0.805
Jim O'Rourke,62,8505,1872,1904,0.35,0.423,0.773
Jesse Burkett,75,8421,1890,1905,0.415,0.446,0.861
Frank Chance,20,4297,1898,1914,0.394,0.394,0.788
Johnny Evers,12,6137,1902,1929,0.356,0.334,0.69
Tommy McCarthy,44,5128,1884,1896,0.359,0.376,0.735
Joe Tinker,31,6434,1902,1916,0.308,0.353,0.661
Frankie Frisch,105,9112,1919,1937,0.369,0.432,0.801
Mickey Cochrane,119,5169,1925,1937,0.419,0.478,0.897
Pie Traynor,58,7559,1920,1937,0.362,0.435,0.797
Charlie Gehringer,184,8860,1924,1942,0.404,0.48,0.884
Mel Ott,511,9456,1926,1947,0.414,0.533,0.947
Jimmie Foxx,534,8134,1925,1945,0.428,0.609,1.037
Harry Heilmann,183,7787,1914,1932,0.41,0.52,0.93
Paul Waner,113,9459,1926,1945,0.404,0.473,0.877
Al Simmons,307,8759,1924,1944,0.38,0.535,0.915
Bobby Wallace,34,8618,1894,1918,0.332,0.358,0.69
Rabbit Maranville,28,10078,1912,1935,0.318,0.34,0.658
Bill Dickey,202,6300,1928,1946,0.382,0.486,0.868
Bill Terry,154,6428,1923,1936,0.393,0.506,0.899
Joe DiMaggio,361,6821,1936,1951,0.398,0.579,0.977
Gabby Hartnett,236,6432,1922,1941,0.37,0.489,0.859
Home Run Baker,96,5984,1908,1922,0.363,0.442,0.805
Ray Schalk,11,5306,1912,1929,0.34,0.316,0.656
Hank Greenberg,331,5193,1930,1947,0.412,0.605,1.017
Joe Cronin,170,7579,1926,1945,0.39,0.468,0.858
Sam Crawford,97,9570,1899,1917,0.362,0.452,0.814
