Park,Dome
American Family Field,Yes
Angel Stadium,No
Busch Stadium,No
Chase Field,Yes
Citi Field,No
Citizens Bank Park,No
Comerica Park,No
Coors Field,No
Dodger Stadium,No
Estadio Alfredo Harp Helu,No
Fenway Park,No
Globe Life Field,Yes
Great American Ball Park,No
Guaranteed Rate Field,No
Kauffman Stadium,No
loanDepot park,Yes
London Stadium,No
Minute Maid Park,Yes
Muncy Bank Ballpark,No
Nationals Park,No
Oakland Coliseum,No
Oracle Park,No
Oriole Park at Camden Yards,No
Petco Park,No
PNC Park,No
Progressive Field,No
Rogers Centre,Yes
T-Mobile Park,No
Target Field,No
Tropicana Field,Yes
Truist Park,No
Wrigley Field,No
Yankee Stadium,No
