game_pk,temperature,Park
718773,61,Great American Ball Park
718774,76,loanDepot park
718781,39,Yankee Stadium
718769,52,Oakland Coliseum
718778,56,Petco Park
718772,70,Busch Stadium
718777,42,Wrigley Field
718770,54,Dodger Stadium
718776,72,Tropicana Field
718767,54,T-Mobile Park
718768,73,Minute Maid Park
718780,45,Nationals Park
718775,67,Kauffman Stadium
718782,38,Fenway Park
718779,69,Globe Life Field
718668,53,Citizens Bank Park
718659,44,Truist Park
718664,51,Oriole Park at Camden Yards
718660,65,American Family Field
718669,57,Wrigley Field
718663,45,Progressive Field
718661,52,Citi Field
718665,72,Tropicana Field
718658,65,Coors Field
718662,51,PNC Park
718657,63,Angel Stadium
718656,81,Chase Field
718666,56,Target Field
718672,59,Oracle Park
718667,50,Comerica Park
717465,85,Nationals Park
717455,72,Guaranteed Rate Field
717464,80,Yankee Stadium
717466,72,loanDepot park
717463,75,Progressive Field
717454,67,Petco Park
717452,74,Chase Field
717458,73,Target Field
717457,79,Comerica Park
717459,77,American Family Field
717453,73,Minute Maid Park
717460,72,Tropicana Field
717461,82,Fenway Park
717448,60,Oracle Park
717456,69,Dodger Stadium
717436,65,Petco Park
717440,73,Minute Maid Park
717441,72,Tropicana Field
717447,83,Yankee Stadium
717439,76,Chase Field
717442,69,Comerica Park
717445,65,Guaranteed Rate Field
717443,72,Progressive Field
717449,78,Fenway Park
717438,72,loanDepot park
717444,75,American Family Field
717446,76,Target Field
717450,87,Nationals Park
717437,73,Dodger Stadium
717451,62,Oracle Park
717422,60,Oracle Park
717433,79,Yankee Stadium
717423,70,Petco Park
717428,80,Target Field
717427,75,American Family Field
717430,73,Minute Maid Park
717425,77,Chase Field
717426,72,loanDepot park
717432,83,Nationals Park
717434,73,Progressive Field
717424,80,Guaranteed Rate Field
717431,74,Comerica Park
717435,80,Fenway Park
717429,72,Tropicana Field
717413,82,Citi Field
717412,91,Great American Ball Park
717417,81,Oriole Park at Camden Yards
717420,73,Rogers Centre
717414,86,Truist Park
717418,87,Citizens Bank Park
717405,85,Angel Stadium
717419,86,Wrigley Field
717406,80,T-Mobile Park
717416,85,PNC Park
717415,74,Globe Life Field
717410,82,Coors Field
717409,71,Oakland Coliseum
717407,91,Busch Stadium
717398,86,PNC Park
717399,80,Oakland Coliseum
717400,79,Citi Field
717389,77,Angel Stadium
717408,90,Citizens Bank Park
717395,86,Truist Park
717390,84,T-Mobile Park
717404,68,Rogers Centre
717397,86,Citizens Bank Park
717411,86,Kauffman Stadium
717392,75,Great American Ball Park
717402,74,Globe Life Field
717394,85,Coors Field
717403,83,Wrigley Field
717396,77,Busch Stadium
717401,90,Oriole Park at Camden Yards
717393,88,Kauffman Stadium
717378,86,Coors Field
717387,77,Citizens Bank Park
717384,81,Oriole Park at Camden Yards
717391,88,Truist Park
717377,74,Globe Life Field
717385,79,Citi Field
717383,83,Great American Ball Park
717380,89,Busch Stadium
717382,70,Kauffman Stadium
717379,79,Oakland Coliseum
717381,83,Angel Stadium
717376,81,Wrigley Field
717386,73,Rogers Centre
717373,76,T-Mobile Park
717388,79,PNC Park
718648,63,Truist Park
718655,72,Tropicana Field
718652,58,Citizens Bank Park
718650,63,American Family Field
718653,56,PNC Park
718642,63,Wrigley Field
718644,72,Angel Stadium
718649,62,Target Field
718639,86,Chase Field
718646,52,Progressive Field
718651,55,Oriole Park at Camden Yards
718645,63,Coors Field
718643,65,Oracle Park
718647,49,Citi Field
718654,55,Comerica Park
717369,79,Angel Stadium
717370,72,Wrigley Field
717365,70,T-Mobile Park
717375,85,Great American Ball Park
717366,67,Oakland Coliseum
717367,74,Globe Life Field
717372,89,Oriole Park at Camden Yards
717374,80,Busch Stadium
717368,84,Kauffman Stadium
717371,67,PNC Park
717362,73,Rogers Centre
717352,82,Angel Stadium
717364,80,PNC Park
717359,80,Citi Field
717355,88,Coors Field
717353,73,Wrigley Field
717363,89,Citizens Bank Park
717354,74,Globe Life Field
717357,81,Busch Stadium
717361,87,Oriole Park at Camden Yards
717350,77,T-Mobile Park
717349,63,Oakland Coliseum
717358,90,Truist Park
717356,76,Kauffman Stadium
717360,78,Great American Ball Park
717341,79,Citi Field
717338,68,Rogers Centre
717335,83,T-Mobile Park
717340,85,Truist Park
717351,85,Busch Stadium
717336,77,Wrigley Field
717348,75,PNC Park
717342,82,Great American Ball Park
717345,90,Coors Field
717343,85,Oriole Park at Camden Yards
717344,69,Oakland Coliseum
717333,83,Kauffman Stadium
717339,89,Angel Stadium
717347,82,Citizens Bank Park
717346,74,Globe Life Field
717334,85,Great American Ball Park
717331,75,Rogers Centre
717329,84,Citizens Bank Park
717337,90,Truist Park
717322,80,Wrigley Field
717327,76,T-Mobile Park
717323,71,Oakland Coliseum
717328,72,Tropicana Field
717330,85,Citi Field
717332,86,Kauffman Stadium
717326,87,Nationals Park
717314,82,Target Field
717325,74,Wrigley Field
717317,80,Comerica Park
717313,79,American Family Field
717318,84,Yankee Stadium
717310,71,Oakland Coliseum
717315,75,Progressive Field
717320,72,Tropicana Field
717316,74,Globe Life Field
717321,82,Great American Ball Park
717312,79,Angel Stadium
717311,79,T-Mobile Park
717319,72,loanDepot park
717324,75,Fenway Park
717302,78,Progressive Field
717308,82,Wrigley Field
717297,79,Angel Stadium
717295,75,Oakland Coliseum
717304,79,Yankee Stadium
717293,77,Target Field
717309,74,Fenway Park
717301,74,T-Mobile Park
717306,72,loanDepot park
717300,72,Tropicana Field
717303,83,Great American Ball Park
717296,78,American Family Field
717307,84,Nationals Park
717305,72,Globe Life Field
717299,80,Comerica Park
717292,72,loanDepot park
717286,78,Wrigley Field
717287,80,American Family Field
717278,81,Angel Stadium
717285,82,Target Field
717294,84,Yankee Stadium
717284,74,Globe Life Field
717279,72,Oakland Coliseum
717288,80,Comerica Park
717281,77,T-Mobile Park
717290,87,Nationals Park
717291,72,Tropicana Field
717283,82,Progressive Field
717289,83,Great American Ball Park
717298,75,Fenway Park
717273,78,American Family Field
717275,83,Target Field
717274,73,Minute Maid Park
717277,79,Progressive Field
